X,Y,OBJECTID,CARETAKER
-83.04725386381854,42.327033988134268,1,CITY
-83.047942943506683,42.327242115576887,2,CITY
-83.048203513329554,42.327673962830744,3,CITY
-83.048598596883096,42.328121666429496,4,CITY
-83.045428158377803,42.327741733922544,5,CITY
-83.046346158444749,42.328967408121329,6,CITY
-83.046793040654194,42.328786786194321,7,CITY
-83.047918156293036,42.329328746051587,8,CITY
-83.048170938620714,42.329217331807435,9,CLEAN CANS
-83.052601996438938,42.327367644156219,10,CITY
-83.053903168398762,42.327782937807427,11,CITY
-83.054034075393545,42.327970273617517,12,CITY
-83.054693074096079,42.327777780848031,13,CITY
-83.052814765108934,42.328242038988904,14,CITY
-83.052342631256863,42.328708270785441,15,CITY
-83.051604473909791,42.328999890699016,16,CITY
-83.050773625696777,42.329118902799486,17,CLEAN CANS
-83.050321632971688,42.329542478296567,18,CITY
-83.050865099345543,42.330263479905554,19,CITY
-83.052047142122248,42.329934127375715,20,CITY
-83.052264106822932,42.329693644184289,21,CITY
-83.054790919495133,42.32862225537388,22,CITY
-83.055313910568714,42.328485361535506,23,CITY
-83.055657936576452,42.329532795570579,24,CITY
-83.056348270312725,42.329683709120282,25,CITY
-83.05714016937165,42.331422418388762,26,CITY
-83.056829016313444,42.331561766284288,27,CITY
-83.057922336082783,42.331788791929284,28,CITY
-83.054707132730272,42.331694484287119,29,CITY
-83.053358341077256,42.331707467858138,30,CITY
-83.053759267273378,42.333713260256076,33,CITY
-83.055059322627287,42.333270889763355,34,CLEAN CANS
-83.056358760838606,42.332857085340791,35,CLEAN CANS
-83.055682917826175,42.333849853848697,36,CLEAN CANS
-83.057608260804955,42.33574458894013,47,CITY
-83.056939514483275,42.33547958079243,48,CLEAN CANS
-83.055311086265448,42.335961060471874,49,CLEAN CANS
-83.054147306238463,42.336333541297009,50,CLEAN CANS
-83.054768221762842,42.337041125343397,51,CLEAN CANS
-83.055217896834506,42.337646668829493,52,CLEAN CANS
-83.054517569340703,42.337967333426349,53,CLEAN CANS
-83.053839802136935,42.338131021065799,54,CLEAN CANS
-83.051891045468579,42.33826569202752,61,CLEAN CANS
-83.052254630495,42.339299068180686,62,CLEAN CANS
-83.052068024359343,42.3390110272247,63,CLEAN CANS
-83.051919943372965,42.33872343315813,64,CLEAN CANS
-83.051732738959331,42.338463972800227,65,CLEAN CANS
-83.051430867294627,42.338160300995128,66,CLEAN CANS
-83.051225306706471,42.337857745273112,67,CLEAN CANS
-83.051115455323639,42.337584886628704,68,CLEAN CANS
-83.052414407546379,42.337199708345004,69,CLEAN CANS
-83.052027059385765,42.336380466216873,70,CLEAN CANS
-83.051793517174815,42.336492111474158,71,CLEAN CANS
-83.051110039380802,42.336927302371365,72,CLEAN CANS
-83.050041019039853,42.337372309895343,75,CLEAN CANS
-83.049597097677591,42.337410039922474,76,CLEAN CANS
-83.049678061037525,42.337225157924905,77,CLEAN CANS
-83.049798150519635,42.337012142378889,78,CLEAN CANS
-83.049879413916884,42.336812970543825,79,CLEAN CANS
-83.049817432857225,42.336097552896589,87,CITY
-83.051220492634855,42.336256767122784,94,CLEAN CANS
-83.051069412173746,42.336112076133197,95,CLEAN CANS
-83.050781697957916,42.336051564063979,96,CLEAN CANS
-83.05157742563658,42.33577490987399,99,CITY
-83.051502784619643,42.334744880418427,101,CITY
-83.050694131980649,42.334721210831425,102,CITY
-83.050154829298151,42.334714954765012,103,CITY
-83.051288206742669,42.333956225622153,104,CLEAN CANS
-83.051622857033777,42.333617049627009,105,CITY
-83.051391430355338,42.333628661502892,106,CLEAN CANS
-83.050641477230286,42.33356279001061,107,CITY
-83.051286099294998,42.333141445642084,108,CLEAN CANS
-83.051259616960422,42.33256938078452,109,CITY
-83.051315290050169,42.331755270831927,110,CITY
-83.050681511549229,42.332576971197213,111,CLEAN CANS
-83.051119382758046,42.330995420189048,112,CLEAN CANS
-83.049580646829796,42.333621950441866,120,CLEAN CANS
-83.049971861339401,42.334255424696494,122,CITY
-83.048545486686876,42.331551599748302,126,CITY
-83.049268588269769,42.33106256810261,129,CLEAN CANS
-83.047617991427373,42.330771805139712,130,CITY
-83.047469045363371,42.330527076241097,131,CITY
-83.046184096977598,42.330254837275142,132,CITY
-83.046186816177965,42.330126223717592,133,CLEAN CANS
-83.045003015398237,42.329626445001097,134,CITY
-83.043370409116037,42.330307819356626,135,CITY
-83.045641207322163,42.330420045192817,136,CITY
-83.045941805175786,42.330780893972232,138,CITY
-83.04605577533421,42.331768504751075,156,CITY
-83.046071409613418,42.331940214067934,157,CITY
-83.044668460328552,42.331780936450926,162,CITY
-83.044698305955549,42.331280995561954,163,CITY
-83.043594750781821,42.331539717204691,168,CLEAN CANS
-83.044281754463356,42.329117751224807,169,CITY
-83.043932368208317,42.329242324387032,170,CITY
-83.042843562473266,42.329715620859062,171,CITY
-83.042512217982406,42.329897575636863,172,CITY
-83.043945682139153,42.328613544777774,173,CITY
-83.043595995846829,42.328752407448434,174,CITY
-83.042973653797759,42.329031027761964,175,CITY
-83.042506893667706,42.32923999069299,176,CITY
-83.042099119614164,42.329392464279408,177,CITY
-83.038327676742767,42.329191137835977,178,CLEAN CANS
-83.037643776740538,42.328740014997102,179,CLEAN CANS
-83.037118615337249,42.328976859821957,180,CLEAN CANS
-83.037034887861196,42.329290346399262,181,CLEAN CANS
-83.034916466385141,42.329894436406065,182,CLEAN CANS
-83.034663048948531,42.330034401319658,183,CLEAN CANS
-83.034371111752549,42.330173913667387,184,CLEAN CANS
-83.034099956182359,42.330242198737686,185,CLEAN CANS
-83.03390553380541,42.330325679049729,186,CLEAN CANS
-83.033974643895178,42.330698135474705,187,CLEAN CANS
-83.037780426664952,42.331100123938228,188,CITY
-83.035780547772092,42.331834264563909,189,CLEAN CANS
-83.03655711708069,42.332458012789239,190,CITY
-83.036207088530247,42.332611142652773,191,CLEAN CANS
-83.035837492876254,42.332778335945207,192,CLEAN CANS
-83.038483006235182,42.331580051966206,193,CITY
-83.039262939734513,42.33204658707885,196,CLEAN CANS
-83.04021395917637,42.331714653281658,197,CLEAN CANS
-83.040439009612911,42.332003163961367,198,CLEAN CANS
-83.040586717798462,42.332305063846988,199,CLEAN CANS
-83.038875433470409,42.333056925808528,200,CLEAN CANS
-83.041239289055127,42.333327561534382,203,CLEAN CANS
-83.039916534172292,42.333926743188073,208,CLEAN CANS
-83.03991576162116,42.334870137036383,209,CITY
-83.042552675407848,42.334986702948875,222,CLEAN CANS
-83.042852368657989,42.335390431035805,223,CLEAN CANS
-83.04298356131703,42.335563489767701,224,CITY
-83.044559532413814,42.333923762869588,225,CLEAN CANS
-83.046723959310526,42.333605907244483,226,CLEAN CANS
-83.050015954246803,42.335545251727162,229,CITY
-83.049133895774375,42.334434378078505,233,CITY
-83.048909400496683,42.334117303978495,235,CLEAN CANS
-83.048685207951223,42.3337859389245,236,CITY
-83.048027683384063,42.332992131509009,239,CLEAN CANS
-83.04585323308541,42.334696409684668,241,CITY
-83.04695978953049,42.335209574549985,242,CITY
-83.046859258168723,42.335408520374465,243,CITY
-83.046171602310309,42.335128934226219,245,CLEAN CANS
-83.047704629444937,42.335518408296778,246,CITY
-83.048543972127305,42.335914098052669,250,CITY
-83.048233078682188,42.336039131880156,251,CLEAN CANS
-83.046554033093074,42.336176843977029,255,CLEAN CANS
-83.047351534944426,42.336729289671389,261,CLEAN CANS
-83.044722498484461,42.335326470529765,262,CLEAN CANS
-83.04401568245936,42.336861982825177,263,CLEAN CANS
-83.042544719029394,42.338088402957155,264,CITY
-83.047097693503019,42.338713198722452,265,CLEAN CANS
-83.046825609973126,42.338824386317995,266,CLEAN CANS
-83.047831662005919,42.340451301145734,267,CLEAN CANS
-83.050822887510321,42.324676913278054,268,CLEAN CANS
